german,english
ich,I
sie,you
das,the
ist,is
du,you
nicht,Not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,With
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,a
so,so
hat,Has
hier,here
haben,to have
für,For
sind,are
war,was
von,of
wenn,if
dich,you
ihr,you
nein,No
habe,have
an,at
bin,am
noch,still
nur,just
da,there
dir,to you
sich,yourself
einen,one
uns,us
hast,has
dem,the
kann,can
gut,Well
auch,also
schon,beautiful
als,as
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,out
meine,my
um,around
im,in the
wird,becomes
mein,my
bist,are
doch,but
alles,everything
weiß,White
keine,no
oder,or
nach,to
s,s
nichts,Nothing
man,you
muss,got to
werden,become
will,want
ihnen,them
geht,going
wo,Where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,hab
warum,Why
vor,in front
los,Come on
können,can
wieder,again
sagen,say
machen,do
danke,thanks
sehr,very
alle,all
denn,because
mann,man
tun,to do
ihm,him
zum,to the
gehen,walk
sehen,see
vielleicht,maybe
einem,one
wer,who
ihre,your
diese,these
euch,to you
einer,one
komm,come over
über,above
gibt,gives
okay,OK
wissen,knowledge
deine,yours
müssen,have to
soll,should
werde,will
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,path
würde,would
tut,does
am,at the
des,of
einfach,easy
leben,Life
hatte,would have
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,coming
wollen,want
damit,in order to
ganz,all
wäre,would
wollte,wanted
weißt,know
ok,OK
sicher,for sure
gesagt,told
frau,Mrs
nun,now
bis,to
wurde,has been
leid,suffering
na,n / A
kannst,can
macht,makes
dieser,this
zurück,back
lassen,to let
hallo,Hello
meinen,mean
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,exactly
waren,were
zur,to
lass,let
klar,clear
morgen,tomorrow
leute,People
vater,father
schön,beautiful
glaube,faith
mr.,mr.
ab,from
gerade,just
tag,Day
gesehen,seen
reden,talk
wohl,well
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,by
ob,if
keinen,no
mutter,mother
raus,Out
gemacht,made
