german,english
ich,I
sie,you
das,the
ist,is
du,you
nicht,Not
die,the
es,it
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,With
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,a
so,so
hat,Has
haben,to have
für,For
sind,are
war,was
wenn,if
dich,you
ihr,you
nein,No
habe,have
an,at
bin,am
noch,still
nur,just
da,there
dir,to you
sich,yourself
einen,one
uns,us
hast,has
kann,can
gut,Well
schon,beautiful
als,as
sein,be
mal,times
jetzt,now
dann,then
aus,out
meine,my
im,in the
wird,becomes
mein,my
bist,are
doch,but
alles,everything
weiß,White
keine,no
oder,or
nach,to
s,s
nichts,Nothing
man,you
muss,got to
werden,become
will,want
geht,going
wo,Where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
hab,hab
warum,Why
vor,in front
los,Come on
können,can
wieder,again
machen,do
danke,thanks
alle,all
denn,because
mann,man
tun,to do
zum,to the
gehen,walk
sehen,see
einem,one
wer,who
ihre,your
diese,these
euch,to you
einer,one
komm,come over
über,above
gibt,gives
okay,OK
wissen,knowledge
deine,yours
müssen,have to
soll,should
werde,will
wirklich,really
hey,hey
kein,no
viel,much
weg,path
würde,would
tut,does
am,at the
des,of
leben,Life
hatte,would have
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,coming
wollen,want
damit,in order to
ganz,all
wäre,would
wollte,wanted
weißt,know
ok,OK
sicher,for sure
gesagt,told
frau,Mrs
nun,now
bis,to
wurde,has been
leid,suffering
na,n / A
kannst,can
zurück,back
lassen,to let
meinen,mean
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,exactly
waren,were
zur,to
lass,let
klar,clear
morgen,tomorrow
leute,People
vater,father
glaube,faith
mr.,mr.
ab,from
gerade,just
tag,Day
gesehen,seen
reden,talk
wohl,well
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
ob,if
keinen,no
mutter,mother
raus,Out
gemacht,made
